position1,condition1,category (960$f),shape (960$g),size (960$h),size unit (960$i),encoding (960$j),matching string (960$k): see instructions
245$h,[motion picture],film,,,,,see instructions
245$h,[videorecording],video,,,,,see instructions
245$h,[video recording],video,,,,,see instructions
245$h,[electronic resource],video,,,,computer,see instructions
338$a,[film cartridge],film,cartridge,,,,see instructions
338$a,[film cassette],film,cassette,,,,see instructions
338$a,[film reel],film,reel,,,,see instructions
338$a,[film roll],film,roll,,,,see instructions
